# data = ppd03_1st15_ch1.tab
# channel = 1
# sample_rate = 11025
# classifier = SVM
FILE	BGNOISE	FM	HFM	SV	
T0000284_ch1	5	1	0	0	
T0000285_ch1	4	4	0	2	
T0000286_ch1	9	2	5	0	
T0000287_ch1	3	1	1	0	
T0000288_ch1	0	1	2	0	
T0000289_ch1	4	0	1	1	
T0000290_ch1	3	1	0	0	
T0000291_ch1	0	1	0	0	
T0000292_ch1	3	2	0	0	
T0000293_ch1	10	0	1	0	
T0000294_ch1	8	0	0	0	
T0000295_ch1	6	0	0	0	
T0000296_ch1	7	0	0	1	
T0000297_ch1	4	0	0	0	
T0000298_ch1	14	2	0	0	
T0000299_ch1	12	0	0	0	
T0000300_ch1	10	1	0	0	
T0000301_ch1	2	2	0	0	
T0000302_ch1	2	4	1	0	
T0000303_ch1	11	0	0	0	
T0000304_ch1	8	0	0	0	
T0000305_ch1	4	1	0	0	
T0000306_ch1	4	2	0	0	
T0000307_ch1	4	0	0	0	
T0000308_ch1	4	0	0	0	
T0000309_ch1	8	0	0	0	
T0000310_ch1	4	0	0	0	
T0000311_ch1	8	0	0	0	
T0000312_ch1	4	0	0	0	
T0000313_ch1	6	0	0	0	
T0000314_ch1	16	1	0	0	
T0000315_ch1	6	0	0	0	
T0000316_ch1	5	0	0	0	
T0000317_ch1	8	0	0	0	
T0000318_ch1	4	1	0	0	
T0000319_ch1	2	1	1	0	
T0000320_ch1	4	0	0	0	
T0000321_ch1	3	0	0	0	
T0000322_ch1	9	1	0	0	
T0000323_ch1	4	1	0	0	
T0000324_ch1	9	1	0	0	
T0000325_ch1	25	0	2	0	
T0000326_ch1	10	0	0	0	
T0000327_ch1	10	1	0	0	
T0000328_ch1	12	1	2	0	
T0000329_ch1	4	0	0	0	
T0000330_ch1	3	0	0	0	
T0000331_ch1	6	0	0	0	
T0000332_ch1	11	1	0	0	
T0000333_ch1	8	0	0	0	
T0000334_ch1	5	1	0	0	
T0000335_ch1	7	1	0	0	
T0000336_ch1	5	0	2	0	
T0000337_ch1	7	0	0	0	
T0000338_ch1	1	0	1	0	
T0000339_ch1	4	2	0	0	
T0000340_ch1	3	1	0	0	
T0000341_ch1	1	1	1	0	
T0000342_ch1	2	2	0	0	
T0000343_ch1	6	2	0	0	
T0000344_ch1	1	4	0	0	
T0000345_ch1	9	1	1	1	
T0000346_ch1	3	5	0	0	
T0000347_ch1	6	0	0	0	
T0000348_ch1	8	0	0	0	
T0000349_ch1	8	0	1	0	
T0000350_ch1	6	0	0	0	
T0000351_ch1	25	1	1	0	
T0000352_ch1	8	0	0	0	
T0000353_ch1	8	0	0	0	
T0000354_ch1	8	1	0	0	
T0000355_ch1	7	0	0	0	
T0000356_ch1	5	0	1	0	
T0000357_ch1	5	1	0	0	
T0000358_ch1	8	0	0	0	
T0000359_ch1	6	0	0	0	
T0000360_ch1	7	0	0	0	
T0000361_ch1	6	0	0	0	
T0000362_ch1	3	1	4	0	
T0000363_ch1	5	2	0	0	
T0000364_ch1	7	0	2	0	
T0000365_ch1	5	3	0	0	
T0000366_ch1	4	1	0	0	
T0000367_ch1	1	1	0	0	
T0000368_ch1	8	0	0	0	
T0000369_ch1	4	0	0	0	
T0000370_ch1	13	3	1	0	
T0000371_ch1	3	3	3	0	
T0000372_ch1	7	2	0	0	
T0000373_ch1	1	0	0	0	
T0000374_ch1	5	1	1	5	
T0000375_ch1	9	0	0	0	
T0000376_ch1	4	1	0	0	
T0000377_ch1	4	1	1	2	
T0000378_ch1	2	3	0	0	
T0000379_ch1	14	2	1	1	
T0000380_ch1	14	2	1	0	
T0000381_ch1	6	0	0	0	
T0000382_ch1	11	0	0	0	
T0000383_ch1	9	0	0	0	
T0000384_ch1	3	0	1	0	
T0000385_ch1	8	0	0	0	
T0000386_ch1	9	0	1	0	
T0000387_ch1	5	0	1	0	
T0000388_ch1	6	1	0	0	
T0000389_ch1	24	6	0	0	
TOTAL		599	207	41	
P		0.7072	0.2444	0.0484	
