# data = data_ch1.tab
# channel = 1
# sample_rate = 11025
# classifier = SVM
FILE	BGNOISE	FM	HFM	SV	start: 2012-09-17 15:21:58	Duration	
T0000123_ch1	2	0	0	0	2012-09-17 15:28:43	0.8	
T0000124_ch1	4	2	0	0	2012-09-17 15:28:47	0.6	
T0000125_ch1	5	0	0	1	2012-09-17 15:28:48	0.6	
T0000126_ch1	4	1	1	0	2012-09-17 15:28:49	0.6	
T0000127_ch1	1	1	0	4	2012-09-17 15:28:52	1.3	
T0000128_ch1	2	2	1	2	2012-09-17 15:28:55	1.0	
T0000129_ch1	1	0	0	0	2012-09-17 15:29:02	0.6	
T0000130_ch1	3	2	0	1	2012-09-17 15:29:06	0.7	
T0000131_ch1	2	1	0	3	2012-09-17 15:29:08	1.2	
T0000132_ch1	4	1	0	0	2012-09-17 15:29:10	0.6	
T0000133_ch1	3	1	0	0	2012-09-17 15:29:11	0.6	
T0000134_ch1	4	2	2	0	2012-09-17 15:29:13	0.9	
T0000135_ch1	4	1	0	4	2012-09-17 15:29:16	1.6	
T0000136_ch1	1	1	0	1	2012-09-17 15:29:20	0.8	
T0000137_ch1	2	2	0	3	2012-09-17 15:29:22	1.1	
T0000138_ch1	2	3	0	0	2012-09-17 15:29:23	0.6	
T0000139_ch1	4	3	1	4	2012-09-17 15:29:25	1.8	
T0000140_ch1	2	1	0	3	2012-09-17 15:29:28	1.9	
T0000141_ch1	4	0	0	1	2012-09-17 15:29:34	0.8	
T0000142_ch1	3	0	0	0	2012-09-17 15:29:36	0.6	
T0000143_ch1	4	2	0	1	2012-09-17 15:29:38	0.8	
T0000144_ch1	2	1	0	2	2012-09-17 15:29:39	1.2	
T0000145_ch1	4	0	0	2	2012-09-17 15:29:45	0.6	
T0000146_ch1	3	1	0	2	2012-09-17 15:29:46	0.9	
T0000147_ch1	4	0	0	1	2012-09-17 15:29:47	0.6	
T0000148_ch1	5	1	0	5	2012-09-17 15:29:52	1.9	
T0000149_ch1	5	0	0	1	2012-09-17 15:29:54	0.6	
T0000150_ch1	6	2	0	0	2012-09-17 15:29:56	0.6	
T0000151_ch1	7	0	0	1	2012-09-17 15:29:57	1.1	
T0000152_ch1	2	1	0	2	2012-09-17 15:29:58	1.5	
T0000153_ch1	6	1	0	2	2012-09-17 15:30:03	1.1	
T0000154_ch1	7	1	0	0	2012-09-17 15:30:11	0.6	
T0000155_ch1	3	0	0	2	2012-09-17 15:30:16	1.5	
T0000156_ch1	2	1	0	0	2012-09-17 15:30:19	0.6	
T0000157_ch1	4	3	0	0	2012-09-17 15:30:26	0.6	
T0000158_ch1	1	2	0	3	2012-09-17 15:30:26	1.7	
T0000159_ch1	5	2	0	0	2012-09-17 15:30:29	0.7	
T0000160_ch1	3	1	0	0	2012-09-17 15:30:34	0.8	
T0000161_ch1	8	1	0	0	2012-09-17 15:30:38	0.9	
T0000162_ch1	2	0	0	6	2012-09-17 15:30:41	1.9	
T0000163_ch1	0	3	0	2	2012-09-17 15:30:45	0.9	
T0000164_ch1	1	1	0	5	2012-09-17 15:30:46	1.7	
T0000165_ch1	1	0	1	3	2012-09-17 15:30:53	1.6	
T0000166_ch1	4	1	0	0	2012-09-17 15:30:55	0.6	
T0000167_ch1	2	1	0	0	2012-09-17 15:30:55	0.7	
T0000168_ch1	3	1	0	1	2012-09-17 15:30:56	0.7	
T0000169_ch1	5	0	1	4	2012-09-17 15:30:59	1.2	
T0000170_ch1	4	1	1	3	2012-09-17 15:31:02	1.2	
T0000171_ch1	1	1	0	2	2012-09-17 15:31:04	1.0	
T0000172_ch1	6	0	0	3	2012-09-17 15:31:05	1.2	
T0000173_ch1	3	1	0	0	2012-09-17 15:31:09	0.6	
T0000174_ch1	5	0	0	1	2012-09-17 15:31:10	0.6	
T0000175_ch1	5	0	0	0	2012-09-17 15:31:12	0.6	
T0000176_ch1	5	3	0	0	2012-09-17 15:31:12	0.6	
T0000177_ch1	3	2	0	5	2012-09-17 15:31:15	1.5	
T0000178_ch1	3	2	0	5	2012-09-17 15:31:21	2.4	
T0000179_ch1	5	1	0	0	2012-09-17 15:31:28	0.6	
T0000180_ch1	5	2	1	0	2012-09-17 15:31:29	0.9	
T0000181_ch1	7	3	0	0	2012-09-17 15:31:30	1.6	
T0000182_ch1	4	2	0	1	2012-09-17 15:31:32	1.1	
T0000183_ch1	1	1	0	0	2012-09-17 15:31:35	0.6	
T0000184_ch1	2	4	0	4	2012-09-17 15:31:36	1.7	
T0000185_ch1	2	1	0	0	2012-09-17 15:31:39	0.6	
T0000186_ch1	5	1	0	1	2012-09-17 15:31:42	0.6	
T0000187_ch1	5	2	0	0	2012-09-17 15:31:44	1.1	
T0000188_ch1	3	3	0	0	2012-09-17 15:31:45	0.6	
T0000189_ch1	3	1	1	0	2012-09-17 15:31:47	1.0	
T0000190_ch1	4	0	1	1	2012-09-17 15:31:48	0.6	
T0000191_ch1	1	1	2	2	2012-09-17 15:31:49	1.1	
T0000192_ch1	3	1	1	0	2012-09-17 15:31:51	0.7	
T0000193_ch1	5	1	0	1	2012-09-17 15:31:53	0.6	
T0000194_ch1	3	1	1	1	2012-09-17 15:31:55	0.7	
T0000195_ch1	5	2	0	0	2012-09-17 15:31:55	0.9	
T0000196_ch1	0	2	0	0	2012-09-17 15:31:56	0.6	
T0000197_ch1	3	1	0	4	2012-09-17 15:31:59	1.5	
T0000198_ch1	4	2	0	0	2012-09-17 15:32:01	0.7	
T0000199_ch1	1	3	0	0	2012-09-17 15:32:11	1.0	
T0000200_ch1	3	1	0	1	2012-09-17 15:32:13	1.0	
T0000201_ch1	1	3	0	2	2012-09-17 15:32:16	1.3	
T0000202_ch1	4	2	1	0	2012-09-17 15:32:21	0.8	
T0000203_ch1	2	3	0	0	2012-09-17 15:32:23	0.6	
T0000204_ch1	2	0	0	1	2012-09-17 15:32:24	0.6	
T0000205_ch1	4	5	1	0	2012-09-17 15:32:30	2.2	
T0000206_ch1	2	1	0	0	2012-09-17 15:32:37	0.6	
T0000207_ch1	1	2	0	0	2012-09-17 15:32:40	0.6	
T0000208_ch1	1	1	1	0	2012-09-17 15:32:42	0.6	
T0000209_ch1	4	1	1	0	2012-09-17 15:32:44	0.6	
T0000210_ch1	3	4	0	0	2012-09-17 15:32:45	1.0	
T0000211_ch1	5	0	0	0	2012-09-17 15:32:50	0.6	
T0000212_ch1	1	0	0	2	2012-09-17 15:33:00	1.0	
T0000213_ch1	3	1	0	0	2012-09-17 15:33:09	0.6	
T0000214_ch1	3	1	0	0	2012-09-17 15:33:12	0.6	
T0000215_ch1	10	0	1	4	2012-09-17 15:33:14	1.9	
T0000216_ch1	3	3	0	0	2012-09-17 15:33:25	0.6	
T0000217_ch1	1	1	0	3	2012-09-17 15:33:27	1.2	
T0000218_ch1	0	2	1	1	2012-09-17 15:33:42	0.8	
T0000219_ch1	3	0	1	0	2012-09-17 15:33:47	0.6	
T0000220_ch1	2	0	0	1	2012-09-17 15:33:48	0.6	
T0000221_ch1	7	0	0	0	2012-09-17 15:33:50	1.4	
T0000222_ch1	4	1	0	0	2012-09-17 15:33:52	0.6	
T0000223_ch1	10	0	0	0	2012-09-17 15:33:53	1.9	
T0000224_ch1	1	2	0	0	2012-09-17 15:33:57	0.6	
T0000225_ch1	0	1	1	0	2012-09-17 15:34:03	0.7	
T0000226_ch1	1	2	0	1	2012-09-17 15:34:19	0.8	
T0000227_ch1	0	2	0	2	2012-09-17 15:34:23	1.0	
T0000228_ch1	2	1	0	2	2012-09-17 15:34:25	1.2	
T0000229_ch1	4	0	0	0	2012-09-17 15:34:29	0.6	
T0000230_ch1	2	3	0	2	2012-09-17 15:34:29	1.0	
T0000231_ch1	4	1	0	2	2012-09-17 15:34:31	1.1	
T0000232_ch1	1	2	0	0	2012-09-17 15:34:34	0.6	
T0000233_ch1	2	0	0	0	2012-09-17 15:34:40	0.6	
T0000234_ch1	3	0	0	0	2012-09-17 15:34:45	0.6	
T0000235_ch1	6	0	0	0	2012-09-17 15:34:59	0.6	
T0000236_ch1	1	1	0	0	2012-09-17 15:35:01	0.6	
T0000237_ch1	2	3	1	2	2012-09-17 15:35:04	1.4	
T0000238_ch1	8	1	0	0	2012-09-17 15:35:06	0.6	
T0000239_ch1	2	3	1	0	2012-09-17 15:35:10	0.6	
T0000240_ch1	3	1	0	1	2012-09-17 15:35:17	0.9	
T0000241_ch1	2	4	0	0	2012-09-17 15:35:18	0.6	
T0000242_ch1	2	1	1	0	2012-09-17 15:35:19	0.6	
T0000243_ch1	3	2	3	3	2012-09-17 15:35:20	1.6	
T0000244_ch1	5	0	0	0	2012-09-17 15:35:28	0.8	
